iter	MultiClass
0	0.8990867917
1	0.7313661429
2	0.6107777756
3	0.518469139
4	0.4443713483
5	0.3847869884
6	0.338486546
7	0.3013358049
8	0.2695672318
9	0.2354511585
10	0.2089085373
11	0.1848539046
12	0.1705627382
13	0.1592684179
14	0.1490123321
15	0.1342905846
16	0.1259014231
17	0.1169963761
18	0.1111431559
19	0.1039726144
20	0.09753967111
21	0.09139639437
22	0.08631371319
23	0.08266337253
24	0.07912591534
25	0.07481433391
26	0.07143153115
27	0.06785121592
28	0.06545625496
29	0.06276223112
30	0.0598310669
31	0.05607910822
32	0.05397762881
33	0.05210745191
34	0.04969978036
35	0.04819814814
36	0.04633390339
37	0.04466464503
38	0.04309915491
39	0.04147129289
40	0.03994237129
41	0.0387975983
42	0.03749791732
43	0.03616863347
44	0.03475582895
45	0.03360187936
46	0.03277130511
47	0.03171350482
48	0.03054835165
49	0.02979594661
50	0.02894509534
51	0.02835992342
52	0.02750059207
53	0.0265288376
54	0.02582092146
55	0.02539495244
56	0.0248642979
57	0.02433994385
58	0.02388745004
59	0.02337581053
60	0.02295118184
61	0.02255232517
62	0.02217246048
63	0.0217906828
64	0.02137566771
65	0.02100780365
66	0.02066510936
67	0.02021900909
68	0.01973406886
69	0.01939198707
70	0.01906145397
71	0.01867861922
72	0.01834336431
73	0.0181145781
74	0.01791725262
75	0.01767936075
76	0.01747221665
77	0.01721071408
78	0.0169615963
79	0.01660951344
80	0.01639344159
81	0.01610549973
82	0.01590166917
83	0.01568243694
84	0.01544222252
85	0.01523260731
86	0.01503981011
87	0.01485161388
88	0.01470872482
89	0.01454843862
90	0.01435907019
91	0.0141916457
92	0.0140113911
93	0.0138075199
94	0.01357566777
95	0.01337338673
96	0.01321859813
97	0.0130220373
98	0.01287110685
99	0.01270525073
100	0.0125115495
101	0.01238486549
102	0.01218678828
103	0.01201952428
104	0.01191701736
105	0.01179162386
106	0.01165169344
107	0.01153736801
108	0.0114227958
109	0.01130823204
110	0.01117256633
111	0.01106053053
112	0.01097819181
113	0.01087257431
114	0.01075839725
115	0.01066074815
116	0.0105442406
117	0.01046550748
118	0.01036311953
119	0.01026715254
120	0.01018249864
121	0.01007734888
122	0.009978426263
123	0.009884871396
124	0.009777654535
125	0.009686315278
126	0.009582321561
127	0.009497527701
128	0.009389525998
129	0.009284474631
130	0.009202144146
131	0.009139322593
132	0.009014837533
133	0.008945741421
134	0.008862612068
135	0.008808696117
136	0.008727420692
137	0.008669415258
138	0.008584757715
139	0.008533271013
140	0.008429614858
141	0.008371440181
142	0.008319930164
143	0.00823579431
144	0.008192962453
145	0.008100072665
146	0.00804245659
147	0.007985002432
148	0.007923058073
149	0.007857840571
150	0.007795537751
151	0.007752448572
152	0.007694611437
153	0.007630510886
154	0.007587694961
155	0.007512686529
156	0.007425817731
157	0.007371081056
158	0.007314638501
159	0.00726437669
160	0.007222275489
161	0.007166540586
162	0.007104728728
163	0.007067929882
164	0.007027656469
165	0.006971909403
166	0.006932057077
167	0.006890124224
168	0.006854167688
169	0.006819888974
170	0.00677282656
171	0.006739340458
172	0.006701562889
173	0.006660530468
174	0.006611097225
175	0.006573565231
176	0.006538812775
177	0.006495752911
178	0.006448587865
179	0.006413928426
180	0.006360175442
181	0.006317164851
182	0.006286888062
183	0.006245897067
184	0.006216072697
185	0.006187241848
186	0.006161328678
187	0.006128345793
188	0.006097632727
189	0.00606271559
190	0.006031769473
191	0.005990476312
192	0.005962238957
193	0.005928336841
194	0.005895806518
195	0.005852830011
196	0.005822427448
197	0.00579079787
198	0.005761307562
199	0.005731481415
